"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  US$","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  US$","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
62.,"Dander Eliminator Spray – Plant-Based Pet Allergy & Dander Remover – Breaks Down Pet Dander, Dust Mites & Odors Naturally – Safe for Bedding, Furniture & Carpets – USA Made 32oz","B0FY993BPG","https://www.amazon.com/dp/B0FY993BPG?psc=1","https://m.media-amazon.com/images/I/61Qo4bjC90L._AC_SY355_.jpg","CITRATIDE",16.97,21,21,"N/A",355.35,354.99,177,"81,441","N/A",8.81,1,4.2,4,8,0,"OEM Outsourcing","Pet Supplies","Large Standard-Size","FBA","9.00 x 4.00 x 4.00 in",2.56,"N/A","Oct 29, 2025",,"No",5,"OEM Outsourcing"
60.,"Sprayology AllergEase Spray | Homeopathic Allergy Relief | All-Natural, Fast-Acting Allergy Spray | Seasonal & Pollen Allergies | Echinacea, Lycopodium, Allium Cepa & More | 90 Doses (1.38 fl oz)","B07Q86WRKF","https://www.amazon.com/dp/B07Q86WRKF?psc=1","https://m.media-amazon.com/images/I/71uob3-RXDL._AC_SY355_.jpg","Sprayology",38,9,9,"N/A",353.86,353.72,195,"429,729","N/A",9.43,1,4.1,21,7,0,"Sprayology LLC","Health & Household","Large Standard-Size","FBA","6.46 x 1.42 x 1.46 in",0.15,"N/A","Apr 2, 2019",,"No",83,"Sprayology LLC"
50.,"Easy Air Organic Allergy Relief Spray, Clear Liquid Formula for Instant Relief for Symptoms of Pet Allergies, Dust and Mite Allergy - 16 Fl Oz","B09R2JPRFG","https://www.amazon.com/dp/B09R2JPRFG?psc=1","https://m.media-amazon.com/images/I/51d28Q0L8QL._AC_SY355_.jpg","EASY AIR ANTI-ALLERGEN",29.89,40,11,"N/A","1,410.93",332.43,142,"176,707","N/A",10.51,1,4.1,159,7,0,"Amazing-Solutions","Health & Household","Large Standard-Size","FBA","9.37 x 2.44 x 3.62 in",1.08,"N/A","Jan 24, 2022",,"No",50,"Amazing-Solutions"
66.,"Allersearch AllerDust Dusting Aid 2 Oz","B003SPEKXC","https://www.amazon.com/dp/B003SPEKXC?psc=1","https://m.media-amazon.com/images/I/61P9FHFNctL._AC_SY355_.jpg","Allersearch",17.95,13,13,"N/A",233.17,233.05,38,"353,256","N/A",6.72,1,4.3,50,2,0,"AllerGuard Corporation","Health & Household","Large Standard-Size","FBA","5.59 x 1.34 x 1.97 in",0.15,"N/A","Jun 12, 2010",,"No",189,"AllerGuard Corporation"
47.,"Allersearch All-Up Anti-Allergen Carpet Pre-Spray 32 Oz Ready to Use","B000OGYZD8","https://www.amazon.com/dp/B000OGYZD8?psc=1","https://m.media-amazon.com/images/I/619EhQhMR8L._AC_SY355_.jpg","Allersearch",32.95,6,6,"N/A",207.84,207.75,68,"534,694","N/A",10.99,1,3.9,24,8,0,"AllerGuard Corporation","Health & Household","Large Standard-Size","FBA","11.38 x 3.46 x 8.43 in",2.23,"N/A","Jul 19, 2006",,"No",236,"AllerGuard Corporation"
55.,"Allergy Asthma Sinus Relief Spray with Refill Bottles, Nasal Friendly Room Mist, Dust Mite, Pet Dander & Mold Spray, Eco-Friendly, Furniture, Fabrics, Bedding, Vents – 2 oz","B0F8H26XJQ","https://www.amazon.com/dp/B0F8H26XJQ?psc=1","https://m.media-amazon.com/images/I/61v7K+PsEhL._AC_SY355_.jpg","P2 Probiotic Power",17.99,16,11,"N/A",356.39,204.61,172,"209,571","N/A",3.68,1,5,2,4,0,"Jeffers Pet, Equine, and Livestock","Health & Household","Large Standard-Size","FBA","5.25 x 1.25 x 1.25 in",0.13,"N/A","Mar 21, 2025",,"No",12,"Jeffers Pet, Equine, and Livestock"
46.,"Allersearch All-Up Concentrated Anti-Allergen Carpet Spot Spray 1 Gallon (128 Oz)","B00JZY40VW","https://www.amazon.com/dp/B00JZY40VW?psc=1","https://m.media-amazon.com/images/I/71io2FfswoL._AC_SY355_.jpg","Allersearch",48.95,4,4,"N/A",180.39,180.3,81,"669,501","N/A",17.09,1,4.5,7,8,0,"AllerGuard Corporation","Health & Household","Large Standard-Size","FBA","11.20 x 4.00 x 7.50 in",8.6,"N/A","May 8, 2014",,"No",142,"AllerGuard Corporation"
48.,"PUREFY Anti-Allergen Spray Concentrate (16oz 2pk, makes 136oz), Hypoallergenic. Eliminate Irritating Matters and Odor. Baby Safe. Unscented. No Residue. For Cleaner and Healthier Life!","B0C4544N4Z","https://www.amazon.com/dp/B0C4544N4Z?psc=1","https://m.media-amazon.com/images/I/51utIk6HW7L._AC_SY355_.jpg","PUREFY",48.88,3,3,"N/A",161.13,161.05,184,"1,051,317","N/A",13.43,1,"N/A",0,8,0,"PUREFYLIFE","Health & Household","Large Standard-Size","MFN","3.00 x 9.00 x 6.00 in",2.5,"N/A","May 3, 2023",,"No",34,"PUREFYLIFE"
44.,"PUREFY Anti-Allergen Spray (24oz, 2pk), Eliminate matters. Odor eliminators. Unscented. No residue. Safe for babies and pets. Spray for Healtheir Life.","B09C3ZBX8Y","https://www.amazon.com/dp/B09C3ZBX8Y?psc=1","https://m.media-amazon.com/images/I/51j-2AoaupL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg","PUREFY",42.98,4,4,"N/A",153.59,153.47,151,"855,196","N/A","N/A",1,"N/A",0,9,0,"PUREFYLIFE","Health & Household","N/A","MFN","N/A","N/A","N/A","Aug 7, 2021",,"No",55,"PUREFYLIFE"
43.,"PUREFY Anti-Allergen Spray (16oz+Concentrate makes 68oz), Hypoallergenic. Eliminate Irritating Matters and Odor. Baby Safe. Unscented. No Residue. For Cleaner and Healthier Life!","B0BJZM4C1H","https://www.amazon.com/dp/B0BJZM4C1H?psc=1","https://m.media-amazon.com/images/I/51BETXI1+HL._AC_SY355_.jpg",,39.98,3,3,"N/A",126.36,126.23,178,"716,528","N/A",13.16,1,3.4,39,7,0,"PUREFYLIFE","Health & Household","Large Standard-Size","MFN","9.21 x 3.82 x 6.42 in",3.53,"N/A","Oct 20, 2022",,"No",41,"PUREFYLIFE"
57.,"Mold Armor Allergen Neutralizer Spray 32oz Jumbo Size","B005HF4WBQ","https://www.amazon.com/dp/B005HF4WBQ?psc=1","https://m.media-amazon.com/images/I/41RYzdyI0EL._AC_SY355_.jpg","Mold Armor",19.99,5,5,"N/A",94.89,94.78,53,"346,258","N/A",9.61,1,4.7,5,2,0,"TeknologyPark","Health & Household","Large Standard-Size","MFN","10.30 x 5.60 x 3.00 in",2.85,"N/A","Aug 15, 2011",,"No",175,"TeknologyPark"
51.,"Unscented Anti-Allergen Spray Household Cleaner Reduce Dust, Pollen from Home Furniture, Fabric, Clothes & Carpet - Allergy Asthma Spray - Eco-Friendly - Made in USA 32 fl oz (946 ml)","B0BWH961PB","https://www.amazon.com/dp/B0BWH961PB?psc=1","https://m.media-amazon.com/images/I/816r0YiLNaL._SY355_.jpg","JumblClean",19.98,1,1,"N/A",22.48,22.44,183,"716,141","N/A",9.26,1,3.2,26,6,0,,"Health & Household","Large Standard-Size","MFN","11.81 x 4.17 x 7.20 in",2.18,"N/A","Mar 27, 2023",,"No",36,
59.,"EZR Microshield Allergen-Free Dusting Spray, 8oz","B00Z7HGW8U","https://www.amazon.com/dp/B00Z7HGW8U?psc=1","https://m.media-amazon.com/images/I/81w0koS06ML._AC_SY355_.jpg","EZR819265006708",6.49,1,1,"N/A",9.11,9.06,48,"1,017,457","N/A","N/A",1,5,1,1,0,"THE EXECUTIVE COLLECTION     Discount at CHECKOUT!","Health & Household","N/A","MFN","N/A","N/A","N/A","Jun 8, 2015",,"No",129,"THE EXECUTIVE COLLECTION     Discount at CHECKOUT!"
63.,"Remove Dust Mites, Allergens + Pet Dander & Pollen: The ALLERGEN Duo","B0DZQJLR9L","https://www.amazon.com/dp/B0DZQJLR9L?psc=1","https://m.media-amazon.com/images/I/51DRL5Vbk5L._SX342_.jpg","The Ecology Works",34.95,0,0,"N/A",0,0,68,"N/A","N/A","N/A",1,4.2,13,6,0,"The Ecology Works, Inc",,"N/A","FBA","N/A","N/A","N/A","Mar 7, 2025",,"No",12,"The Ecology Works, Inc"
